OTU,SampleID,Reads,DataFrame,ConsensusLineage,Domain,Clade1,Class,Order,Family,Genus,Species,WTU.domain,WTU.clade1,WTU.class,WTU.order,WTU.family,WTU.genus,WTU.species
OTU5,S008813,3896,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU22,S008813,574,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium moschatum,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU187,S008813,212,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU1296,S008813,41,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU180,S008813,37,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium moschatum,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium moschatum,2,4,5,22,43,214,552
OTU1050,S008813,32,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU139,S008813,24,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU1866,S008813,18,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Brassicales; f__Brassicaceae; g__Descurainia; s__Descurainia argentina,Eukaryota,Streptophyta,NA,Brassicales,Brassicaceae,Descurainia,Descurainia argentina,2,4,5,12,18,131,278
OTU39,S008813,14,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Boraginales; f__Hydrophyllaceae; g__Phacelia; s__Phacelia arizonica,Eukaryota,Streptophyta,NA,Boraginales,Hydrophyllaceae,Phacelia,Phacelia arizonica,2,4,5,11,16,128,273
OTU18,S008813,11,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Caryophyllales; f__Polygonaceae; g__Rumex; s__Rumex tenax,Eukaryota,Streptophyta,NA,Caryophyllales,Polygonaceae,Rumex,Rumex tenax,2,4,5,13,29,171,391
OTU231,S008813,10,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU356,S008813,7,spring2017,k__Eukaryota; p__Streptophyta; c__None; o__Geraniales; f__Geraniaceae; g__Erodium; s__Erodium lebelii,Eukaryota,Streptophyta,NA,Geraniales,Geraniaceae,Erodium,Erodium lebelii,2,4,5,22,43,214,550
OTU440,S008813,7,spring2017,k__Eukaryota; p__Streptophyta; c__Liliopsida; o__Poales; f__Poaceae; g__Aristida; s__Aristida junciformis,Eukaryota,Streptophyta,Liliopsida,Poales,Poaceae,Aristida,Aristida junciformis,2,4,4,7,10,23,35
