OTU,SampleID,Reads,ConsensusLineage,Kingdom,Clade1,Clade2,Order,Family,Subfamily,Genus,Species,WTU.kingdom,WTU.clade1,WTU.clade2,WTU.order,WTU.family,WTU.subfamily,WTU.genus,WTU.species
OTU763,S008813,2157,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; ; g__; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,NA,NA,1,1,10,33,72,102,652,1147
OTU94346,S008813,1664,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Rumex; s__Rumex_crispus;,Viridiplantae,Streptophyta,NA,Caryophyllales,Polygonaceae,Polygonoideae,Rumex,Rumex_crispus,1,1,11,47,121,178,863,1543
OTU650,S008813,1006,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Papaveraceae; f__Eschscholzioideae; g__Eschscholzia; ; s__,Viridiplantae,Streptophyta,NA,Ranunculales,Papaveraceae,Eschscholzioideae,Eschscholzia,NA,1,1,11,54,134,192,887,1578
OTU11466,S008813,630,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; f__; g__Descurainia; ; s__,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,Descurainia,NA,1,1,10,30,68,97,553,956
OTU97283,S008813,402,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Digitaria; s__Digitaria_ischaemum;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Digitaria,Digitaria_ischaemum,1,1,4,20,54,81,432,685
OTU14879,S008813,278,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; ; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Astragalus,NA,1,1,10,33,72,103,656,1164
OTU12232,S008813,245,d__Viridiplantae; k__Streptophyta; p__; c__Ranunculales; o__Papaveraceae; f__Eschscholzioideae; g__Eschscholzia; s__Eschscholzia_californica;,Viridiplantae,Streptophyta,NA,Ranunculales,Papaveraceae,Eschscholzioideae,Eschscholzia,Eschscholzia_californica,1,1,11,54,134,192,887,1577
OTU78221,S008813,179,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; g__Chamaecrista; s__Chamaecrista_desvauxii;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,Chamaecrista,Chamaecrista_desvauxii,1,1,10,33,72,101,599,1023
OTU1859,S008813,155,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Aristidoideae,Aristida,NA,1,1,4,20,54,75,363,541
OTU12618,S008813,139,d__Viridiplantae; k__Streptophyta; p__rosids; c__Brassicales; o__Brassicaceae; ; f__; g__; s__,Viridiplantae,Streptophyta,rosids,Brassicales,Brassicaceae,NA,NA,NA,1,1,10,30,68,97,588,1010
OTU61757,S008813,113,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Astragalus; s__Astragalus_polaris;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Astragalus,Astragalus_polaris,1,1,10,33,72,103,656,1160
OTU51283,S008813,71,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Danthonioideae; g__Danthonia; s__Danthonia_decumbens;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Danthonioideae,Danthonia,Danthonia_decumbens,1,1,4,20,54,79,413,646
OTU55764,S008813,70,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Urochloa; s__Urochloa_oblita;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Urochloa,Urochloa_oblita,1,1,4,20,54,81,477,793
OTU58181,S008813,67,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; s__Aristida_kenyensis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Aristidoideae,Aristida,Aristida_kenyensis,1,1,4,20,54,75,363,536
OTU60927,S008813,59,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; s__Vachellia_tortuosa;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,Vachellia_tortuosa,1,1,10,33,72,102,650,1143
OTU80517,S008813,29,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Mnesithea; s__Mnesithea_formosa;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Mnesithea,Mnesithea_formosa,1,1,4,20,54,81,454,729
OTU88760,S008813,25,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU49692,S008813,22,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Orcuttia; s__Orcuttia_pilosa;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Orcuttia,Orcuttia_pilosa,1,1,4,20,54,78,397,620
OTU35442,S008813,20,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; g__Tragus; s__Tragus_racemosus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,Tragus,Tragus_racemosus,1,1,4,20,54,78,404,634
OTU1519,S008813,19,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Chrysopogon; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Chrysopogon,NA,1,1,4,20,54,81,430,680
OTU29631,S008813,17,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Aristidoideae; g__Aristida; s__Aristida_longifolia;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Aristidoideae,Aristida,Aristida_longifolia,1,1,4,20,54,75,363,537
OTU67423,S008813,16,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Saccharum; s__Saccharum_spontaneum;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Saccharum,Saccharum_spontaneum,1,1,4,20,54,81,466,763
OTU75265,S008813,15,d__Viridiplantae; k__Streptophyta; p__rosids; c__Geraniales; o__Geraniaceae; f__; g__Erodium; s__Erodium_cicutarium;,Viridiplantae,Streptophyta,rosids,Geraniales,Geraniaceae,NA,Erodium,Erodium_cicutarium,1,1,10,35,80,112,703,1273
OTU2259,S008813,14,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Chloridoideae; ; g__; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Chloridoideae,NA,NA,1,1,4,20,54,78,409,640
OTU94020,S008813,13,d__Viridiplantae; k__Streptophyta; p__; c__Caryophyllales; o__Polygonaceae; f__Polygonoideae; g__Rumex; s__Rumex_alpestris;,Viridiplantae,Streptophyta,NA,Caryophyllales,Polygonaceae,Polygonoideae,Rumex,Rumex_alpestris,1,1,11,47,121,178,863,1542
OTU47141,S008813,13,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Fillaeopsis; s__Fillaeopsis_discophora;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Fillaeopsis,Fillaeopsis_discophora,1,1,10,33,72,102,628,1091
OTU76837,S008813,13,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU93243,S008813,11,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Cenchrus; s__Cenchrus_macrourus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Cenchrus,Cenchrus_macrourus,1,1,4,20,54,81,429,673
OTU22483,S008813,10,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Vachellia; ; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Vachellia,NA,1,1,10,33,72,102,650,1145
OTU54046,S008813,10,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Ophiuros; s__Ophiuros_exaltatus;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Ophiuros,Ophiuros_exaltatus,1,1,4,20,54,81,459,735
OTU64126,S008813,10,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Urochloa; s__Urochloa_venosa;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Urochloa,Urochloa_venosa,1,1,4,20,54,81,477,794
OTU30009,S008813,9,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Tetrapleura; s__Tetrapleura_tetraptera;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Tetrapleura,Tetrapleura_tetraptera,1,1,10,33,72,102,649,1130
OTU1370,S008813,8,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fagales; o__Fagaceae; f__; g__Quercus; ; s__,Viridiplantae,Streptophyta,rosids,Fagales,Fagaceae,NA,Quercus,NA,1,1,10,34,77,109,694,1263
OTU86656,S008813,8,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Moorochloa; s__Moorochloa_eruciformis;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Moorochloa,Moorochloa_eruciformis,1,1,4,20,54,81,455,730
OTU96086,S008813,8,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Mimosoideae; g__Piptadenia; s__Piptadenia_floribunda;,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Mimosoideae,Piptadenia,Piptadenia_floribunda,1,1,10,33,72,102,640,1113
OTU6244,S008813,8,d__Viridiplantae; k__Streptophyta; p__asterids; c__Asterales; o__Asteraceae; f__Cichorioideae; g__Stephanomeria; ; s__,Viridiplantae,Streptophyta,asterids,Asterales,Asteraceae,Cichorioideae,Stephanomeria,NA,1,1,1,3,4,7,150,208
OTU409,S008813,7,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Paspalum; ; s__,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Paspalum,NA,1,1,4,20,54,81,464,760
OTU1752,S008813,7,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Caesalpinioideae; ; g__; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Caesalpinioideae,NA,NA,1,1,10,33,72,101,620,1061
OTU1284,S008813,7,d__Viridiplantae; k__Streptophyta; p__rosids; c__Fabales; o__Fabaceae; f__Papilionoideae; g__Lupinus; ; s__,Viridiplantae,Streptophyta,rosids,Fabales,Fabaceae,Papilionoideae,Lupinus,NA,1,1,10,33,72,103,670,1190
OTU101170,S008813,7,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Gynerium; s__Gynerium_sagittatum;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Gynerium,Gynerium_sagittatum,1,1,4,20,54,81,439,703
OTU53045,S008813,6,d__Viridiplantae; k__Streptophyta; p__commelinids; c__Poales; o__Poaceae; f__Panicoideae; g__Thyridolepis; s__Thyridolepis_mitchelliana;,Viridiplantae,Streptophyta,commelinids,Poales,Poaceae,Panicoideae,Thyridolepis,Thyridolepis_mitchelliana,1,1,4,20,54,81,475,784
